price,stNumber,stName,size,beacon,baseFloor,buildingStyle,elevators,rooms,bedrooms,fullBathrooms,halfBathrooms,garage
321000,22,PERRY ST,720,0,3,ROW-END,0,4,2,1,0,0
408000,30,STANTON RD,1139,0,1,LOW-RISE,0,6,3,1,0,0
522000,20,CHAPEL ST,1176,0,1,HIGH-RISE,6,5,2,1,0,1
521000,185,PLEASANT ST,1230,0,2,ROW-END,0,5,2,1,1,1
145000,150,PLEASANT ST,696,0,5,MID-RISE,1,3,1,1,0,1
565000,51,JOHN ST,1173,0,2,LOW-RISE,1,4,2,2,0,0
399000,105,CROWNINSHIELD RD,795,0,1,LOW-RISE,0,3,1,1,0,1
297000,99,POND AVE,870,0,5,HIGH-RISE,5,3,1,1,0,1
1035000,20,CHAPEL ST,2458,0,6,HIGH-RISE,6,8,4,3,1,2
349000,33,POND AVE,1300,0,10,HIGH-RISE,5,4,2,2,0,1
355000,1731,BEACON ST,925,1,2,HIGH-RISE,2,4,1,1,0,1
415500,92,WINTHROP RD,1185,0,3,ROW-END,0,5,2,1,0,0
515000,12,WELLMAN ST,1513,0,3,ROW-MIDDLE,0,5,2,1,0,0
297000,77,POND AVE,860,0,5,HIGH-RISE,5,3,1,1,0,1.75
595000,54,STEARNS RD,1567,0,3,ROW-END,0,5,3,2,0,0
492500,233,FREEMAN ST,1006,0,2,LOW-RISE,0,5,2,1,0,0
714500,36,ATHERTON RD,1840,0,1,DECKER,0,6,4,2,0,1
415000,319,TAPPAN ST,1134,0,1,LOW-RISE,0,5,2,2,0,0
350000,19,WINCHESTER ST,684,0,8,HIGH-RISE,2,4,1,1,0,0
